id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
1.2087E+18,The Albany Allen Home Private Bedroom 5,349460842,Scott,TENTH WARD,42.6639,-73.7927,Private room,56,28,304
11639446,$55twin($30 foreign student)FreeBF Noac no smoke,61700428,Adam,ELEVENTH WARD,42.67583,-73.78297,Private room,55,15,365
54126421,Beautiful Apartment in the heart of Albany,37769478,Erion,SIXTH WARD,42.65422,-73.76996,Entire home/apt,101,1,361
53312101, 1 bed near Times Union center  Egg wparking ,232967878,Diana,SECOND WARD,42.64369,-73.7581,Entire home/apt,76,2,66
1.3627E+18,Classic  Homey 2BD1BA Fl 2 Apt @ Downtown Albany,44434571,Earl,THIRD WARD,42.64603244,-73.7523681,Entire home/apt,94,1,363
1.00498E+18,Elegant Albany Retreat | Mins to DT  UAlbany,31318080,Cindy,EIGHTH WARD,42.6555,-73.81066,Entire home/apt,125,2,131
45529316,WOW  Bright Apt  PRIME downtown Walk Everywhere,47625981,Linda,SECOND WARD,42.64821,-73.75793,Entire home/apt,108,1,346
45074220,"Historic Albany, Loft Apartment",272907816,Angela,SECOND WARD,42.64454,-73.75369,Entire home/apt,77,2,81
50207226, RARE 1BR Apt with Character GREAT Location! WD,47625981,Linda,FOURTH WARD,42.65888,-73.74673,Entire home/apt,104,1,297
54232383,Lovely 2 bedroom unit with indoor fireplace.,272907816,Angela,SECOND WARD,42.64459,-73.75392,Entire home/apt,89,2,345
1.12456E+18,Charming 1BR Near Capitol-Dwntwn,46312980,Robert,SECOND WARD,42.646032,-73.760482,Entire home/apt,64,3,114
1.27772E+18,Large Center Sq Luxury Retreat.,65760,Anthony,SIXTH WARD,42.6497616,-73.7645287,Entire home/apt,171,4,227
6.81952E+17,Albany-2 bedrooms apt (1st fl) AA-Sisters Rental,461579260,Md,SECOND WARD,42.646896,-73.757612,Entire home/apt,140,1,61
6.53434E+17,Lovely apartment in heart of Albany,1761578,Grant,SIXTH WARD,42.65389,-73.76538,Entire home/apt,130,2,38
1.15061E+18,Albany historic Washington Park,576083630,Joseph,SIXTH WARD,42.6586049,-73.7680329,Entire home/apt,95,2,74
1.29665E+18,Room in Albany,663670719,Elhadj,THIRTEENTH WARD,42.66434544,-73.77874573,Private room,38,1,325
1.2958E+18,'The Blue Home' Private Bedroom 1  1 Full Bath,349460842,Scott,THIRTEENTH WARD,42.6634563,-73.78182815,Private room,70,30,230
31210362,Nest in Hazel,160340958,Jon,FIFTEENTH WARD,42.67519,-73.82281,Private room,47,2,351
1.18925E+18,Lovely 1 Bedroom with Parking,37769478,Erion,TENTH WARD,42.66215,-73.79048,Entire home/apt,80,1,364
53645427, BEAUTIFUL  2 BED 2 BATH  w SOAKER TUB + WD,47625981,Linda,FOURTH WARD,42.65913,-73.74722,Entire home/apt,135,1,286
44180048,Historic Queen Studio Across from Washington Park!,355777684,Lloyd,SIXTH WARD,42.65935,-73.76805,Entire home/apt,97,1,282
54128829,Modern  Cozy Cntr Square Townhouse Gem from 1854,265709295,Richard & Priscela,SIXTH WARD,42.65594,-73.76591,Entire home/apt,145,1,330
9.28949E+17,Newly Renovated Gem in Melrose - Pet Friendly,441054845,Thaddeus,THIRTEENTH WARD,42.67066,-73.79571,Entire home/apt,58,1,215
1.2293E+18,It's Like a Treehouse,562084689,Antonio,TENTH WARD,42.66104,-73.77971,Entire home/apt,98,1,346
25549565,Quiet and Pretty in the Heart of Center Square,9666970,Janet,SIXTH WARD,42.65345,-73.7645,Entire home/apt,71,1,0
1.13494E+18,Calling all travelers,521669673,Kody,THIRD WARD,42.65909,-73.75691,Entire home/apt,70,14,235
20519885,Spacious5BedroomHome BusinessOrFamily InAlbany!,67171774,Michael And Flerida,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,275,4,302
1.31962E+18,Prime Location - 1 Bedroom,559146397,Cathleen,SIXTH WARD,42.65331,-73.76971,Entire home/apt,65,31,334
52691284,+ Perfect place to make memories with loved ones +,232967878,Diana,TENTH WARD,42.66236,-73.79245,Entire home/apt,474,2,84
6.87497E+17,Albany-3 bedrooms apt (2nd fl) AA-Sisters Rental,461579260,Md,SECOND WARD,42.64621,-73.75723,Entire home/apt,156,1,72
1.01605E+18,Heart of Albany - Downtown Near Everything,42708277,Rodney,SIXTH WARD,42.65539,-73.76416,Entire home/apt,60,1,46
1.17454E+18,"Spacious, Modern Gem in Melrose - Pet Friendly",441054845,Thaddeus,THIRTEENTH WARD,42.66894,-73.79549,Entire home/apt,91,1,207
8.87179E+17,The Comfort,459472925,Gabriel,THIRD WARD,42.6628771,-73.7653403,Private room,36,1,361
1.26668E+18,Row house on the park,1017349,Chris,SIXTH WARD,42.65319027,-73.769706,Private room,75,1,83
7.74701E+17,Entire cozy unit in Albany,261036923,Hasan,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,72,1,249
1.22934E+18,Indigo Bunting Nest,562084689,Antonio,ELEVENTH WARD,42.66319,-73.77897,Entire home/apt,152,1,351
1.33424E+18,Modern  Spacious 3BR1BA Fl 2 Apt Downtown Albany,44434571,Earl,SECOND WARD,42.644075,-73.7545279,Entire home/apt,126,1,314
8.81232E+17,Exposed Brick with Park Views,37769478,Erion,SIXTH WARD,42.65379,-73.76901,Entire home/apt,86,1,335
13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms!,1364123,Akhilesh,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,326
8.41524E+17,Mellow Cove,462042479,Natasha,SIXTH WARD,42.66008,-73.76977,Entire home/apt,120,3,364
1.15824E+18,Funky loft studio,502037254,Andrew,THIRD WARD,42.65845,-73.75926,Entire home/apt,98,30,269
52615364,Unique one bedroom in the heart of downtown Albany,416465867,Chris,THIRD WARD,42.65069,-73.75193,Entire home/apt,65,30,173
21769213,Cozy downstairs bedroom in quiet neighborhood!,135717458,Chad,ELEVENTH WARD,42.66572,-73.77834,Private room,32,18,212
1.24223E+18,Nice room in downtown albany,594734396,Abdelrahman,SECOND WARD,42.6425,-73.75889,Private room,50,1,358
1.14635E+18,491 Washington Ave FL1Rare,575030103,Rehan,ELEVENTH WARD,42.66259,-73.7733,Private room,50,2,269
1.15806E+18,The Albany Allen Home Private Bedroom 1,349460842,Scott,TENTH WARD,42.66428,-73.79249,Private room,56,28,254
1.06253E+18,"private twin room near hospitals, schools",20536619,Emily,THIRTEENTH WARD,42.67096,-73.79514,Private room,59,3,82
6.49974E+17,Modern luxury studio with free off street parking,353498132,Michael,SECOND WARD,42.64625,-73.75663,Entire home/apt,90,14,332
45528939,UNIQUE Gem in HEART of Albany  Spiral Staircase,47625981,Linda,SECOND WARD,42.64801,-73.75668,Entire home/apt,108,1,279
51579900,MODERN 1BR GREAT Location Downtown! WD Parking!,47625981,Linda,FOURTH WARD,42.65856,-73.74866,Entire home/apt,99,1,283
45529447, 2 BEDROOM  1 BATH TRENDY Apt  Downtown Albany,47625981,Linda,SECOND WARD,42.64713,-73.75628,Entire home/apt,126,1,284
1.34376E+18,Home in Great Safe Neighborhood,51050977,Manny,FIFTEENTH WARD,42.6694592,-73.8269249,Entire home/apt,114,30,364
1.1053E+18,Downtown Brownstone with a View!,14817455,Matt,THIRD WARD,42.65749,-73.75263,Entire home/apt,140,7,268
19571496,Modern Studio Perfect Location Albany,36438637,Chad,TENTH WARD,42.6585,-73.78414,Private room,45,18,357
17514620,Cozy Modern Room Perfect Location Albany,36438637,Chad,TENTH WARD,42.6584,-73.78309,Private room,41,18,356
7.39723E+17,Adirondack Suite #1,98744672,Bela,NINTH WARD,42.6543178,-73.7818222,Private room,45,2,336
7.97455E+17,Albany MedicalcollegesDtwn AlbanyGreen ROOM O,89705052,Share,TENTH WARD,42.65741,-73.78034,Private room,51,2,121
32279028,"Cosy, comfy and quiet for one",172223381,Diana,EIGHTH WARD,42.64936,-73.80278,Private room,53,1,3
47440071,The Historic J. Buel Farmhouse - Luxury Suite Loft,382970529,Thomas,THIRTEENTH WARD,42.6692,-73.79849,Private room,105,1,66
1.20153E+18,Traveling Medical Professionals,413566290,Victoria,NINTH WARD,42.65506736,-73.79768461,Private room,59,2,45
1.01076E+18,Abba House historic Retreat - 3rd Floor Queen Bed,382970529,Thomas,THIRTEENTH WARD,42.66971,-73.79755,Private room,51,1,265
22398196,Elegant Guest Suite in our beautiful Victorian!,98744672,Bela,NINTH WARD,42.65501,-73.78122,Private room,52,2,343
15580397,Albany MedicalDtwn AlbanyCollegesBLUE ROOM H.,89705052,Share,NINTH WARD,42.65651,-73.77887,Private room,51,2,115
1.19859E+18,The LEO Home Private Bedroom 2,349460842,Scott,TENTH WARD,42.66269,-73.78163,Private room,56,30,134
6.28824E+17,Clean lines and accessible Convenient Location!,7164949,Jordan,THIRD WARD,42.66169975,-73.76466828,Private room,58,2,88
1.18554E+18,Empire Plaza Apartment,29483818,Ben,SIXTH WARD,42.65327,-73.76181,Entire home/apt,84,1,79
8.4596E+17,Modern Cottage-Perfect for Families!,268741708,Antoinette,FIRST WARD,42.63504,-73.79833,Entire home/apt,277,2,166
1.18346E+18,Upscale Listing-Heart of Albany,42708277,Rodney,SIXTH WARD,42.65227,-73.7646,Entire home/apt,60,1,59
1.05647E+18,"Bonjour, Bienvenue A Chez Pierre",553112010,Linda,TWELFTH WARD,42.7149,-73.87649,Private room,54,2,268
9.19056E+17,Room for rent,502751555,Grace,FIFTH WARD,42.67292,-73.7776,Private room,93,1,364
27670660,The Rock  Roll Suite,98744672,Bela,NINTH WARD,42.65430832,-73.78177643,Private room,54,2,350
1.26453E+18,"Serene Parkside 2BR Apt: Private Entrance, WD",47625981,Linda,SEVENTH WARD,42.64762857,-73.76751684,Entire home/apt,131,1,326
1.32936E+18,Albany Prime Location - 1 Bed,559146397,Cathleen,SIXTH WARD,42.65344807,-73.76942854,Entire home/apt,70,31,301
1.22385E+18,"493 Washington Ave, Albany 12206, 1st Floor",575030103,Rehan,ELEVENTH WARD,42.6633254,-73.7742255,Entire home/apt,99,3,346
1.02101E+18,Spacious Modern 1 Bedroom RARE Apt w GYM,47625981,Linda,THIRD WARD,42.65971,-73.76382,Entire home/apt,107,1,267
50890336,"CHIC, Renovated Brownstone in PRIME DT Albany",47625981,Linda,FOURTH WARD,42.65901,-73.74748,Entire home/apt,108,1,305
44450012,Spacious upscale luxury apartment with huge yard,353498132,Michael,EIGHTH WARD,42.64808,-73.7996,Entire home/apt,145,13,230
1.29132E+18,The Belvedere,571617730,Zinte,SECOND WARD,42.6445746,-73.7566836,Entire home/apt,300,1,357
1.10088E+18,"Homey, Quiet 2BR W Washer Dryer",152762198,Allen,FOURTEENTH WARD,42.67008,-73.80691,Entire home/apt,94,3,148
8.21566E+17,COMFY Roomw Private BATH + TV,177073982,Cristian,FOURTEENTH WARD,42.66109,-73.80479,Private room,52,2,239
6.68608E+17,The Historic J. Buel Farmhouse-  Rose Feather Room,382970529,Thomas,FOURTEENTH WARD,42.66758,-73.7992,Private room,70,1,76
9.69887E+17,Abba House historic Retreat - 1st Floor Queen Bed,382970529,Thomas,FOURTEENTH WARD,42.66877,-73.79927,Private room,55,1,267
24120690,One Bedroom apartment with private entrance,156446839,Domini,FOURTEENTH WARD,42.65975,-73.81196,Private room,68,2,57
35793179,Cozy Bedroom in Historic Residential Home,15223767,Ed,SEVENTH WARD,42.65259,-73.78223,Private room,50,1,248
8.50173E+17,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,SECOND WARD,42.6446,-73.75885,Private room,89,1,324
9501054,Spacious suite with full bath by Capital  Center,29288920,Gregg,SECOND WARD,42.64734,-73.75851,Private room,52,1,72
1.31017E+18,Private Room In Albany,663670719,Elhadj,ELEVENTH WARD,42.66375891,-73.77674407,Private room,44,1,353
8.03868E+17,Washington Park Inn 1,493882819,Terra,NINTH WARD,42.656329,-73.775205,Private room,134,1,281
6.17242E+17,Iconic City Center Apt in Downtown | Pets Allowed,433096110,Brian,SIXTH WARD,42.65353,-73.7679,Entire home/apt,102,1,268
8.70457E+17,Quiet Room Near Everything,177073982,Cristian,FOURTEENTH WARD,42.66128,-73.80548,Private room,52,3,243
1.25226E+18,The Old Lawmaker's Building.,172861174,Vibha,THIRD WARD,42.6551298,-73.7584295,Private room,92,1,361
21052414,Cozy bedroom with (2) walk-in closets,135717458,Chad,THIRTEENTH WARD,42.66565,-73.77975,Private room,36,18,352
1.29676E+18,"Room In Albany, NY",663670719,Elhadj,ELEVENTH WARD,42.6629497,-73.77890271,Private room,37,1,312
48172884,The Down Under Suite,98744672,Bela,NINTH WARD,42.65399,-73.78126,Private room,41,2,282
28400263,Private Room in Historic Residential Home,15223767,Ed,NINTH WARD,42.65464,-73.78348,Private room,50,1,255
6.68608E+17,The Historic J. Buel Farmhouse - Silk Hearth Room,382970529,Thomas,FOURTEENTH WARD,42.66764,-73.79908,Private room,70,1,77
21769439,Cozy upstairs room with (1) walk-in closet,135717458,Chad,ELEVENTH WARD,42.66703,-73.77842,Private room,35,18,351
1.35503E+18,Traveler’s Haven!,413566290,Victoria,NINTH WARD,42.65540065,-73.79756712,Private room,56,2,87
50639032,"Sunny Queen bed, Quiet wBeautiful Garden",172539578,David Yisrael,FIFTEENTH WARD,42.67945,-73.81647,Private room,38,3,119
28341274,Private room in historic building on the park,54394342,Alice,SIXTH WARD,42.65821,-73.76917,Private room,75,1,364
14316232,"Unique Modern Room, Perfect Location Albany",36438637,Chad,TENTH WARD,42.65726,-73.78219,Private room,45,18,334
19527043,Charming 1 Bedroom in a Historic Residential Home,15223767,Ed,NINTH WARD,42.65312,-73.78161,Private room,70,1,207
25976514,City Feel - Green Room,31757246,Leiba,SIXTH WARD,42.65333,-73.77293,Private room,93,3,359
42092736,Private Bedroom in Cozy Ranch Home,41400541,John,FOURTEENTH WARD,42.66403,-73.81446,Private room,52,1,44
8.03814E+17,Washington Park Inn - Room 5,493882819,Terra,NINTH WARD,42.656329,-73.775205,Private room,134,1,266
1.29288E+18,‘The Blue Home’ Private Bedroom 3  1 Full Bath,349460842,Scott,TENTH WARD,42.66229706,-73.78175574,Private room,70,30,256
1.24062E+18,Private suite with separate entrance in Mansion,412416973,Virginia,SECOND WARD,42.64567,-73.75883,Private room,58,1,257
1.18559E+18,The Albany Allen Home Private Bedroom 3,349460842,Scott,FOURTEENTH WARD,42.66612,-73.79275,Private room,70,28,199
7.64509E+17,Rest+Restore Room • Short  Extended Stay •,6203319,Melissa,TENTH WARD,42.66117,-73.79091,Private room,64,1,19
1.01076E+18,Abba House Historic Retreat - 3rd Flr Twin Bed,382970529,Thomas,THIRTEENTH WARD,42.67003,-73.79771,Private room,51,1,269
9.02166E+17,2 bdrm Modern  Hip Apt w Patio,47625981,Linda,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,140,1,355
1.0183E+18,Abba House Historic Retreat - 2nd Floor Queen Bed,382970529,Thomas,THIRTEENTH WARD,42.66996,-73.79816,Private room,57,1,261
1.30808E+18,‘The Blue Home’ Private Bedroom 2  1 Full Bath,349460842,Scott,TENTH WARD,42.66299895,-73.78255585,Private room,56,28,302
8.02217E+17,Washington Park Inn 6,493882819,Terra,SIXTH WARD,42.65751,-73.77409,Private room,168,1,291
1.30811E+18,‘The Blue Home’ Private Bedroom 4  1 Full Bath,349460842,Scott,TENTH WARD,42.66239947,-73.7827126,Private room,56,30,212
1.01366E+18,Abba House Historic Retreat - 2nd Floor Full Bed,382970529,Thomas,FOURTEENTH WARD,42.66873,-73.7993,Private room,59,1,135
45313545,Adorable  Trendy 1 Bd Apt Minutes to Albany Med!,165293595,Kori,NINTH WARD,42.6545,-73.78223,Entire home/apt,79,2,171
42567833,Homey,339085327,Arkady,NINTH WARD,42.65567,-73.7854,Entire home/apt,160,70,365
1.27278E+18,BuelView Flat- Queen Room in Spacious Apartment,382970529,Thomas,THIRTEENTH WARD,42.66880437,-73.79736067,Private room,39,1,81
9.02327E+17,The LEO Home Private Bedroom 4,349460842,Scott,TENTH WARD,42.66174,-73.78325,Private room,63,30,333
1.13643E+18,The LEO Home Private Bedroom 1,349460842,Scott,THIRTEENTH WARD,42.66368,-73.78128,Private room,56,30,238
12799126,Private Room in the Hearth of the Albany,69729286,Musab,SIXTH WARD,42.65154,-73.76867,Private room,47,5,364
1.1919E+18,"Room in Albany, 4 minutes from AMC",32379616,Fabiola,TENTH WARD,42.6605291,-73.7831549,Private room,33,28,363
5.93272E+17,The Historic J. Buel Farmhouse - Luxury Suite,382970529,Thomas,THIRTEENTH WARD,42.66911,-73.79869,Private room,123,1,76
1.2565E+18,The LEO Home Private Bedroom 3,349460842,Scott,TENTH WARD,42.66226,-73.78221,Private room,56,30,149
1.17189E+18,A spacious suite: KingQueen beds Grill WD yard\,580892646,Crystal,SECOND WARD,42.64462,-73.75764,Private room,200,2,111
1.2523E+18,The Albany Allen Home Private Bedroom 2,349460842,Scott,TENTH WARD,42.66555578,-73.79269775,Private room,56,28,326
1.2522E+18,The Albany Allen Home Private Bedroom 4,349460842,Scott,TENTH WARD,42.66517905,-73.79260148,Private room,56,28,364
1.01539E+18,纽约州首府的温馨小屋,182509542,Yan,NINTH WARD,42.6558992,-73.7965699,Private room,24,1,89
12284708,"Well Lit Modern Room, Perfect Location Albany",36438637,Chad,TENTH WARD,42.65912,-73.78349,Private room,41,18,274
9.4275E+17,The spacious room w dresserdesk,116935236,Fs,ELEVENTH WARD,42.67034,-73.7851,Private room,52,2,264
9.63921E+17,Comfy studio in heart of Albany,189586864,Justin,SIXTH WARD,42.65241,-73.77002,Entire home/apt,81,1,353
1.05607E+18,two private bedrooms near hospitals  schools,20536619,Emily,THIRTEENTH WARD,42.6714,-73.79431,Private room,106,5,82
51230498,"Chic-romantic, center-city, hotel-style apartment.",414738935,Sonya,THIRD WARD,42.66064,-73.76074,Entire home/apt,65,1,61
1.0972E+18,Cozy 1-Bedroom Apt in Albany (Entire Apartment),360806709,Gloria,SEVENTH WARD,42.64149,-73.77925,Entire home/apt,78,1,15
54126427,Beautiful 1 bedroom In the heart of Albany,37769478,Erion,SIXTH WARD,42.65403,-73.77056,Entire home/apt,91,1,323
9.57914E+17,"2 bedroom+home office, private parking  backyard",217254883,Ermenita,NINTH WARD,42.6549886,-73.7939094,Entire home/apt,121,1,323
1.02052E+18,Downtown Studio,233515764,Etem,SECOND WARD,42.64714,-73.75466,Entire home/apt,65,1,71
8.50654E+17,"Private queen room near Albany Med, UAlbany",20536619,Emily,THIRTEENTH WARD,42.67177,-73.79464,Private room,65,4,89
9.16782E+17,Newly Renovated Apartment,407186700,Leon,SEVENTH WARD,42.64391,-73.77292,Entire home/apt,67,2,362
28929840,"Spacious
private suite and private bath",194113768,Rachel,FOURTH WARD,42.6737,-73.75313,Private room,70,1,178
32450400,Moroccan Sands,97330032,Sherrell,FOURTH WARD,42.6761,-73.73825,Private room,104,3,179
52241973,Garden Apartment in Historic Center Square Home,35465673,Jason,SIXTH WARD,42.65641,-73.76413,Entire home/apt,75,1,71
1.29807E+18,Fresh  Modernized 2BR Fl 1 Apt @ Downtown Albany,44434571,Earl,SECOND WARD,42.64441207,-73.75226674,Entire home/apt,95,1,339
1.14709E+18,Larson Blue,233515764,Etem,SIXTH WARD,42.65274,-73.76779,Entire home/apt,85,1,85
32993402,✨Historic Full Amenities 2BR Apt @Downtown Albany,44434571,Earl,SECOND WARD,42.64563,-73.75311,Entire home/apt,86,1,356
9.50211E+17,"Historic, Spacious Mansion Suite",1717342,David,SIXTH WARD,42.6541815,-73.7608605,Entire home/apt,99,1,227
5651579,Large studio apt  by Capital Center  ESP@,29288920,Gregg,SECOND WARD,42.64615,-73.75966,Entire home/apt,75,2,16
1.0915E+18,Triplex oasis w:parking near MVP,232967878,Diana,SECOND WARD,42.64409,-73.75709,Entire home/apt,76,2,79
28868857,⭐Cozy Garden Suite Full Amenities @Downtown Albany,44434571,Earl,SECOND WARD,42.64535,-73.75365,Entire home/apt,53,1,344
1.14624E+18,Larson Green,233515764,Etem,SIXTH WARD,42.6524924,-73.7674361,Entire home/apt,85,1,82
9.38432E+17,The little room with TV and twin bed,116935236,Fs,THIRTEENTH WARD,42.66974,-73.78611,Private room,40,2,333
52863776,Washington Parkside 1 Bedroom In 1800s Brownstone!,355777684,Lloyd,SIXTH WARD,42.65826,-73.76944,Entire home/apt,110,1,315
8.16085E+17,Cozy Apartment across the Park,37769478,Erion,SIXTH WARD,42.65258,-73.76917,Entire home/apt,84,1,364
28722270,✍Historic Loft Suite @ Downtown Albany,44434571,Earl,SECOND WARD,42.64535,-73.75365,Entire home/apt,68,1,344
1.11122E+18,Historical Pastures,418250661,Stephanie,THIRD WARD,42.6564469,-73.7507251,Entire home/apt,104,5,321
1.19147E+18,Shanawaz family home,478739541,Shanawaz,EIGHTH WARD,42.65777,-73.8177,Private room,81,1,364
9.80034E+17,Chic Madison Parkview,241123402,JShing,SIXTH WARD,42.65312775,-73.76950465,Entire home/apt,91,1,326
1.23337E+18,Larson Gold,233515764,Etem,SIXTH WARD,42.65173,-73.76786,Entire home/apt,74,1,66
33558235,"Historic, Spacious  Fun 2BR Apt @ Downtown Albany",44434571,Earl,SECOND WARD,42.64585,-73.75297,Entire home/apt,87,1,350
16531782,On a little park in Albany pine hills. (Blue),5691268,Elizabeth,FOURTEENTH WARD,42.66075,-73.80605,Entire home/apt,60,1,286
39864828,Stunning Bungalo-style Loft in downtown Albany,10313615,Matthew,FOURTH WARD,42.66091,-73.74285,Entire home/apt,176,1,254
1.23026E+18,Chic Garden Apt Center Square | King Bed  Laundry,106636448,Daniel,SIXTH WARD,42.65507161,-73.76475095,Entire home/apt,111,1,237
1.20931E+18,"private queen room near AMC, UAlbany",20536619,Emily,THIRTEENTH WARD,42.67318,-73.79345,Private room,71,4,89
1.28415E+18,Spacious 4-Bedroom Home with Modern Amenities,653956114,Michael,TENTH WARD,42.6620383,-73.78922094,Entire home/apt,129,2,156
7.3588E+17,Modern  Homey 1BD1BA Fl 1 Apt @ Downtown Albany,44434571,Earl,THIRD WARD,42.64564,-73.75261,Entire home/apt,74,1,345
9.99162E+17,Apartment Downtown Albany,531209536,Amar,THIRD WARD,42.65762,-73.75116,Entire home/apt,83,1,164
